"lCompanyID","CompanyName","StreetAddress","Trifecta","ShopStatus","strInstallationKey","TenantID","ExternalID","SMS","lCommunityID"
C99B93B9-1E67-4F32-882E-9219049184D1,Euro Autoworks,8276 Hudson Rd Ste 200,ROWriter-UD-37593,Offline,A96C3684-76B2-49E1-96C8-96E5777E053A,,37593,ROWriter,UD
C99B93B9-1E67-4F32-882E-9219049184D1,Euro Autoworks,8276 Hudson Rd Ste 200,ROWriter-UD-7037593,Offline,A96C3684-76B2-49E1-96C8-96E5777E053A,,7037593,ROWriter,UD
C99E4DCC-2FA9-4BC8-993B-769F10FD911D,Choice Automotive,2580 W Lyon Station Rd,ROWriter-UD-43050,Offline,4DFB5ED1-234D-42F5-9653-2EA9E94937A1,,43050,ROWriter,UD
C99E4DCC-2FA9-4BC8-993B-769F10FD911D,Choice Automotive,2580 W Lyon Station Rd,ROWriter-UD-7043050,Offline,4DFB5ED1-234D-42F5-9653-2EA9E94937A1,,7043050,ROWriter,UD
C99F5CEE-6239-4012-AFE1-219D2543D8F2,Meineke - New Haven (122),1175 Whalley Ave,AccountExpired-UD-41299,Active,CAF3BCF9-65FF-4973-8992-30D7CB51DF93,,41299,AccountExpired,UD
C99F5CEE-6239-4012-AFE1-219D2543D8F2,Meineke - New Haven (122),1175 Whalley Ave,AccountExpired-UD-7041299,Active,CAF3BCF9-65FF-4973-8992-30D7CB51DF93,,7041299,AccountExpired,UD
C9A7ACD4-D1DC-4FBA-BD12-238D04605CA3,Christian Brothers Automotive - Westfield,14807 N Gray Rd,TekMetric-RepairPal-cba-00120,Active,72ABD2E6-966A-4FF1-9DAD-A7A67977E398,,cba-00120,TekMetric,RepairPal
C9B05428-781C-4668-85E9-B8E275AD2B32,Charlies Automotive,1031 W Columbia Dr,NapaTracs-UD-7081093,Offline,838E5FAD-7C12-440F-8E07-885DAD6C725A,,7081093,NapaTracs,UD
C9B05428-781C-4668-85E9-B8E275AD2B32,Charlies Automotive,1031 W Columbia Dr,NapaTracs-UD-81093,Offline,838E5FAD-7C12-440F-8E07-885DAD6C725A,,81093,NapaTracs,UD
C9B4CD49-FFDF-47BA-8D57-24AF79990B60,Auto One Complete Car Care,2601 S Interstate 35,NapaTracs-RepairPal-7073518,Active,8CD76DC7-F2EA-4518-A496-6B59B870980A,,7073518,NapaTracs,RepairPal
C9B4CD49-FFDF-47BA-8D57-24AF79990B60,Auto One Complete Car Care,2601 S Interstate 35,NapaTracs-RepairPal-73518,Active,8CD76DC7-F2EA-4518-A496-6B59B870980A,,73518,NapaTracs,RepairPal
